,name_dk,position_dk,team_draft,opponent_fd,salary_dk,salary_fd,salary_draft,fd_adj,draft_adj,adj_fd-dk,adj_draft-dk,fd-dk,draft-dk,draft-fd,avg_fppg_draft,avgpointspergame_dk,fppg_fd
0,Saquon Barkley,RB,Giants,TB,9100.0,9200.0,16700.0,7667.0,8350.0,-1433.0,-750.0,100.0,7600.0,7500.0,23.2,23.2,18.45000076
1,Ezekiel Elliott,RB,Cowboys,MIA,8900.0,8800.0,17100.0,7333.0,8550.0,-1567.0,-350.0,-100.0,8200.0,8300.0,18.15,18.15,15.89999962
2,Christian McCaffrey,RB,Panthers,ARI,8700.0,8900.0,16800.0,7417.0,8400.0,-1283.0,-300.0,200.0,8100.0,7900.0,26.6,26.6,22.10000038
3,Alvin Kamara,RB,Saints,SEA,8000.0,8000.0,14900.0,6667.0,7450.0,-1333.0,-550.0,0.0,6900.0,6900.0,15.45,15.45,13.44999981
4,Dalvin Cook,RB,Vikings,OAK,7800.0,8300.0,14600.0,6917.0,7300.0,-883.0,-500.0,500.0,6800.0,6300.0,30.05,30.05,25.79999924
5,DeAndre Hopkins,WR,Texans,LAC,7800.0,8900.0,14600.0,7417.0,7300.0,-383.0,-500.0,1100.0,6800.0,5700.0,34.1,21.55,16.79999924
6,Davante Adams,WR,Packers,DEN,7600.0,8200.0,13900.0,6833.0,6950.0,-767.0,-650.0,600.0,6300.0,5700.0,14.1,14.1,9.850000381000001
7,Patrick Mahomes,QB,Chiefs,BAL,7600.0,9200.0,13700.0,7667.0,6850.0,67.0,-750.0,1600.0,6100.0,4500.0,32.97,32.97,29.46999931
8,Amari Cooper,WR,Cowboys,MIA,7500.0,7700.0,13700.0,6417.0,6850.0,-1083.0,-650.0,200.0,6200.0,6000.0,20.0,20.0,16.0
9,Michael Thomas,WR,Saints,SEA,7400.0,8000.0,13700.0,6667.0,6850.0,-733.0,-550.0,600.0,6300.0,5700.0,25.3,22.1,15.60000038
10,Julio Jones,WR,Falcons,IND,7300.0,8300.0,14000.0,6917.0,7000.0,-383.0,-300.0,1000.0,6700.0,5700.0,22.85,22.85,18.60000038
11,Austin Ekeler,RB,Chargers,HOU,7200.0,7600.0,14700.0,6333.0,7350.0,-867.0,150.0,400.0,7500.0,7100.0,31.85,31.85,28.35000038
12,Travis Kelce,TE,Chiefs,BAL,7100.0,8000.0,13300.0,6667.0,6650.0,-433.0,-450.0,900.0,6200.0,5300.0,19.25,19.25,15.25
13,Antonio Brown,WR,Patriots,NYJ,7100.0,7700.0,16300.0,6417.0,8150.0,-683.0,1050.0,600.0,9200.0,8600.0,16.1,16.1,14.10000038
14,Lamar Jackson,QB,Ravens,KC,7000.0,8500.0,13500.0,7083.0,6750.0,83.0,-250.0,1500.0,6500.0,5000.0,36.56,35.22,32.22000122
15,Tyreek Hill,WR,Chiefs,BAL,7000.0,7600.0,13200.0,6333.0,6600.0,-667.0,-400.0,600.0,6200.0,5600.0,4.1,4.1,3.099999905
16,Le'Veon Bell,RB,Jets,NE,7000.0,7700.0,14500.0,6417.0,7250.0,-583.0,250.0,700.0,7500.0,6800.0,23.2,22.55,18.04999924
17,Keenan Allen,WR,Chargers,HOU,7000.0,7800.0,13300.0,6500.0,6650.0,-500.0,-350.0,800.0,6300.0,5500.0,23.55,23.55,18.04999924
18,Chris Godwin,WR,Buccaneers,NYG,6900.0,7600.0,12500.0,6333.0,6250.0,-567.0,-650.0,700.0,5600.0,4900.0,21.7,21.7,17.45000076
19,Melvin Gordon III,RB,Chargers,HOU,6900.0,4500.0,13000.0,3750.0,6500.0,-3150.0,-400.0,-2400.0,6100.0,8500.0,0.0,0.0,20.875
20,JuJu Smith-Schuster,WR,Steelers,SF,6900.0,7500.0,12100.0,6250.0,6050.0,-650.0,-850.0,600.0,5200.0,4600.0,13.6,13.6,10.85000038
21,A.J. Green,WR,Bengals,BUF,6800.0,7100.0,12700.0,5917.0,6350.0,-883.0,-450.0,300.0,5900.0,5600.0,0.0,0.0,14.04444461
22,Sammy Watkins,WR,Chiefs,BAL,6800.0,7100.0,12700.0,5917.0,6350.0,-883.0,-450.0,300.0,5900.0,5600.0,30.35,30.35,25.10000038
23,David Johnson,RB,Cardinals,CAR,6800.0,7000.0,12400.0,5833.0,6200.0,-967.0,-600.0,200.0,5600.0,5400.0,17.05,17.05,15.30000019
24,Adam Thielen,WR,Vikings,OAK,6700.0,7000.0,12300.0,5833.0,6150.0,-867.0,-550.0,300.0,5600.0,5300.0,12.9,12.9,10.89999962
25,Tom Brady,QB,Patriots,NYJ,6600.0,7800.0,12900.0,6500.0,6450.0,-100.0,-150.0,1200.0,6300.0,5100.0,26.65,26.65,25.14999962
26,Kenny Golladay,WR,Lions,PHI,6600.0,7000.0,12300.0,5833.0,6150.0,-767.0,-450.0,400.0,5700.0,5300.0,21.45,21.45,16.95000076
27,Mike Evans,WR,Buccaneers,NYG,6600.0,7100.0,13100.0,5917.0,6550.0,-683.0,-50.0,500.0,6500.0,6000.0,7.45,7.45,5.9499998089999995
28,Tyler Boyd,WR,Bengals,BUF,6500.0,6600.0,11900.0,5500.0,5950.0,-1000.0,-550.0,100.0,5400.0,5300.0,19.75,19.75,13.75
29,Dak Prescott,QB,Cowboys,MIA,6500.0,8400.0,12300.0,7000.0,6150.0,500.0,-350.0,1900.0,5800.0,3900.0,32.53,32.53,31.03000069
30,T.Y. Hilton,WR,Colts,ATL,6400.0,7400.0,12100.0,6167.0,6050.0,-233.0,-350.0,1000.0,5700.0,4700.0,21.5,21.5,18.5
31,Deshaun Watson,QB,Texans,LAC,6400.0,8200.0,12400.0,6833.0,6200.0,433.0,-200.0,1800.0,6000.0,4200.0,31.72,22.29,22.29000092
32,James Conner,RB,Steelers,SF,6400.0,7400.0,13100.0,6167.0,6550.0,-233.0,150.0,1000.0,6700.0,5700.0,12.0,12.0,10.25
33,Julian Edelman,WR,Patriots,NYJ,6300.0,6900.0,11600.0,5750.0,5800.0,-550.0,-500.0,600.0,5300.0,4700.0,12.79,12.79,10.28999996
34,Russell Wilson,QB,Seahawks,NO,6300.0,7600.0,13300.0,6333.0,6650.0,33.0,350.0,1300.0,7000.0,5700.0,22.4,22.4,20.39999962
35,Tyler Lockett,WR,Seahawks,NO,6200.0,6600.0,12500.0,5500.0,6250.0,-700.0,50.0,400.0,6300.0,5900.0,14.65,14.65,11.89999962
36,Jimmy Garoppolo,QB,49ers,PIT,6200.0,7200.0,11700.0,6000.0,5850.0,-200.0,-350.0,1000.0,5500.0,4500.0,11.44,17.54,17.54000092
37,Aaron Rodgers,QB,Packers,DEN,6100.0,7900.0,11400.0,6583.0,5700.0,483.0,-400.0,1800.0,5300.0,3500.0,14.14,14.14,13.64000034
38,Aaron Jones,RB,Packers,DEN,6100.0,6900.0,11400.0,5750.0,5700.0,-350.0,-400.0,800.0,5300.0,4500.0,16.45,16.45,13.69999981
39,Stefon Diggs,WR,Vikings,OAK,6000.0,6700.0,12000.0,5583.0,6000.0,-417.0,0.0,700.0,6000.0,5300.0,8.3,8.3,7.0500001910000005
40,Sony Michel,RB,Patriots,NYJ,6000.0,6800.0,11800.0,5667.0,5900.0,-333.0,-100.0,800.0,5800.0,5000.0,7.45,7.35,6.849999905
41,Cam Newton,QB,Panthers,ARI,6000.0,7900.0,10800.0,6583.0,5400.0,583.0,-600.0,1900.0,4800.0,2900.0,11.34,11.34,8.840000153
42,Drew Brees,QB,Saints,SEA,6000.0,7700.0,11300.0,6417.0,5650.0,417.0,-350.0,1700.0,5300.0,3600.0,12.66,12.66,11.15999985
43,Josh Allen,QB,Bills,CIN,5900.0,7500.0,12400.0,6250.0,6200.0,350.0,300.0,1600.0,6500.0,4900.0,21.09,21.09,20.09000015
44,Marquise Brown,WR,Ravens,KC,5900.0,6100.0,11000.0,5083.0,5500.0,-817.0,-400.0,200.0,5100.0,4900.0,25.15,25.15,20.64999962
45,DJ Moore,WR,Panthers,ARI,5900.0,6500.0,10500.0,5417.0,5250.0,-483.0,-650.0,600.0,4600.0,4000.0,15.75,15.75,11.25
46,Chris Carson,RB,Seahawks,NO,5900.0,7000.0,11500.0,5833.0,5750.0,-67.0,-150.0,1100.0,5600.0,4500.0,17.85,17.85,14.60000038
47,Marlon Mack,RB,Colts,ATL,5800.0,7000.0,10900.0,5833.0,5450.0,33.0,-350.0,1200.0,5100.0,3900.0,18.35,18.35,16.35000038
48,DeSean Jackson,WR,Eagles,DET,5800.0,6600.0,10900.0,5500.0,5450.0,-300.0,-350.0,800.0,5100.0,4300.0,19.2,19.2,31.39999962
49,Kyler Murray,QB,Cardinals,CAR,5800.0,7200.0,10500.0,6000.0,5250.0,200.0,-550.0,1400.0,4700.0,3300.0,22.49,22.49,19.48999977
50,Philip Rivers,QB,Chargers,HOU,5800.0,7500.0,10600.0,6250.0,5300.0,450.0,-500.0,1700.0,4800.0,3100.0,19.92,19.92,18.42000008
51,Michael Gallup,WR,Cowboys,MIA,5700.0,6400.0,10600.0,5333.0,5300.0,-367.0,-400.0,700.0,4900.0,4200.0,19.3,19.3,14.55000019
52,Matt Ryan,QB,Falcons,IND,5700.0,7800.0,11200.0,6500.0,5600.0,800.0,-100.0,2100.0,5500.0,3400.0,24.33,24.33,21.32999992
53,Mark Ingram II,RB,Ravens,KC,5700.0,7100.0,11800.0,5917.0,5900.0,217.0,200.0,1400.0,6100.0,4700.0,25.7,17.7,15.69999981
54,Alshon Jeffery,WR,Eagles,DET,5700.0,6700.0,11600.0,5583.0,5800.0,-117.0,100.0,1000.0,5900.0,4900.0,11.05,11.05,19.60000038
55,Zach Ertz,TE,Eagles,DET,5700.0,6900.0,11900.0,5750.0,5950.0,50.0,250.0,1200.0,6200.0,5000.0,13.8,13.8,10.55000019
56,Tyrell Williams,WR,Raiders,MIN,5600.0,6200.0,11300.0,5167.0,5650.0,-433.0,50.0,600.0,5700.0,5100.0,20.55,20.55,16.29999924
57,Carson Wentz,QB,Eagles,DET,5600.0,7700.0,11600.0,6417.0,5800.0,817.0,200.0,2100.0,6000.0,3900.0,23.78,23.78,22.28000069
58,Kerryon Johnson,RB,Lions,PHI,5600.0,6600.0,10100.0,5500.0,5050.0,-100.0,-550.0,1000.0,4500.0,3500.0,12.5,12.5,11.5
59,Ben Roethlisberger,QB,Steelers,SF,5600.0,7400.0,11200.0,6167.0,5600.0,567.0,0.0,1800.0,5600.0,3800.0,6.87,6.87,6.8699998860000004
60,George Kittle,TE,49ers,PIT,5600.0,6600.0,10300.0,5500.0,5150.0,-100.0,-450.0,1000.0,4700.0,3700.0,13.4,10.9,8.149999618999999
61,Joe Mixon,RB,Bengals,BUF,5500.0,6500.0,9900.0,5417.0,4950.0,-83.0,-550.0,1000.0,4400.0,3400.0,4.7,4.7,3.450000048
62,John Brown,WR,Bills,CIN,5500.0,5900.0,10500.0,4917.0,5250.0,-583.0,-250.0,400.0,5000.0,4600.0,21.25,21.25,16.25
63,Matthew Stafford,QB,Lions,PHI,5500.0,6900.0,10800.0,5750.0,5400.0,250.0,-100.0,1400.0,5300.0,3900.0,24.35,24.35,22.35000038
64,Josh Gordon,WR,Patriots,NYJ,5400.0,6000.0,10200.0,5000.0,5100.0,-400.0,-300.0,600.0,4800.0,4200.0,16.3,10.1,8.850000381000001
65,Jameis Winston,QB,Buccaneers,NYG,5400.0,7300.0,11100.0,6083.0,5550.0,683.0,150.0,1900.0,5700.0,3800.0,11.64,11.64,11.64000034
66,Matt Breida,RB,49ers,PIT,5400.0,5900.0,10100.0,4917.0,5050.0,-483.0,-350.0,500.0,4700.0,4200.0,10.45,10.45,8.699999809
67,Andy Dalton,QB,Bengals,BUF,5300.0,7100.0,10000.0,5917.0,5000.0,617.0,-300.0,1800.0,4700.0,2900.0,24.18,24.18,20.18000031
68,Calvin Ridley,WR,Falcons,IND,5300.0,6500.0,10500.0,5417.0,5250.0,117.0,-50.0,1200.0,5200.0,4000.0,21.95,21.95,17.45000076
69,Josh Jacobs,RB,Raiders,MIN,5300.0,6500.0,10000.0,5417.0,5000.0,117.0,-300.0,1200.0,4700.0,3500.0,17.1,17.1,16.85000038
70,Jaylen Samuels,RB,Steelers,SF,5300.0,6100.0,10100.0,5083.0,5050.0,-217.0,-250.0,800.0,4800.0,4000.0,2.85,2.85,2.349999905
71,Jacoby Brissett,QB,Colts,ATL,5200.0,6800.0,10900.0,5667.0,5450.0,467.0,250.0,1600.0,5700.0,4100.0,17.42,17.42,16.92000008
72,Damien Williams,RB,Chiefs,BAL,5200.0,6400.0,10200.0,5333.0,5100.0,133.0,-100.0,1200.0,5000.0,3800.0,18.5,13.55,11.30000019
73,Demarcus Robinson,WR,Chiefs,BAL,5200.0,6700.0,10700.0,5583.0,5350.0,383.0,150.0,1500.0,5500.0,4000.0,19.6,19.6,16.35000038
74,Evan Engram,TE,Giants,TB,5200.0,6400.0,9500.0,5333.0,4750.0,133.0,-450.0,1200.0,4300.0,3100.0,21.2,21.2,15.44999981
75,John Ross III,WR,Bengals,BUF,5100.0,6700.0,9900.0,5583.0,4950.0,483.0,-150.0,1600.0,4800.0,3200.0,31.0,31.0,25.25
76,Kirk Cousins,QB,Vikings,OAK,5100.0,7200.0,10900.0,6000.0,5450.0,900.0,350.0,2100.0,5800.0,3700.0,13.11,13.11,12.60999966
77,James White,RB,Patriots,NYJ,5100.0,6200.0,10100.0,5167.0,5050.0,67.0,-50.0,1100.0,5000.0,3900.0,12.55,12.55,10.55000019
78,Larry Fitzgerald,WR,Cardinals,CAR,5100.0,5900.0,10100.0,4917.0,5050.0,-183.0,-50.0,800.0,5000.0,4200.0,23.35,23.35,17.10000038
79,Eli Manning,QB,Giants,TB,5100.0,6400.0,10200.0,5333.0,5100.0,233.0,0.0,1300.0,5100.0,3800.0,18.84,15.52,13.52000046
80,LeSean McCoy,RB,Chiefs,BAL,5000.0,5500.0,9100.0,4583.0,4550.0,-417.0,-450.0,500.0,4100.0,3600.0,7.8,7.8,6.8000001910000005
81,Mecole Hardman,WR,Chiefs,BAL,5000.0,6300.0,10400.0,5250.0,5200.0,250.0,200.0,1300.0,5400.0,4100.0,8.05,8.05,7.0500001910000005
82,Sam Darnold,QB,Jets,NE,5000.0,6000.0,10000.0,5000.0,5000.0,0.0,0.0,1000.0,5000.0,4000.0,13.0,13.0,13.0
83,Marvin Jones Jr.,WR,Lions,PHI,5000.0,5400.0,10300.0,4500.0,5150.0,-500.0,150.0,400.0,5300.0,4900.0,9.65,9.65,7.400000095
84,Christian Kirk,WR,Cardinals,CAR,5000.0,5900.0,10500.0,4917.0,5250.0,-83.0,250.0,900.0,5500.0,4600.0,15.4,15.4,11.39999962
85,Daniel Jones,QB,Giants,TB,5000.0,6000.0,10000.0,5000.0,5000.0,0.0,0.0,1000.0,5000.0,4000.0,0.18,0.18,-0.8199999929999999
86,Marquise Goodwin,WR,49ers,PIT,5000.0,5400.0,9100.0,4500.0,4550.0,-500.0,-450.0,400.0,4100.0,3700.0,9.2,9.2,8.199999809
87,Devonta Freeman,RB,Falcons,IND,4900.0,6200.0,9300.0,5167.0,4650.0,267.0,-250.0,1300.0,4400.0,3100.0,5.1,7.25,5.25
88,Derek Carr,QB,Raiders,MIN,4900.0,6700.0,10200.0,5583.0,5100.0,683.0,200.0,1800.0,5300.0,3500.0,13.14,13.14,13.14000034
89,Sterling Shepard,WR,Giants,TB,4900.0,6000.0,9800.0,5000.0,4900.0,100.0,0.0,1100.0,4900.0,3800.0,10.2,10.2,7.1999998089999995
90,Will Fuller V,WR,Texans,LAC,4900.0,6000.0,9100.0,5000.0,4550.0,100.0,-350.0,1100.0,4200.0,3100.0,8.9,8.45,6.9499998089999995
91,Mike Williams,WR,Chargers,HOU,4900.0,6100.0,9400.0,5083.0,4700.0,183.0,-200.0,1200.0,4500.0,3300.0,8.1,8.1,6.849999905
92,Geronimo Allison,WR,Packers,DEN,4800.0,5200.0,9000.0,4333.0,4500.0,-467.0,-300.0,400.0,4200.0,3800.0,5.75,5.75,8.5
93,Emmanuel Sanders,WR,Broncos,GB,4800.0,5700.0,9500.0,4750.0,4750.0,-50.0,-50.0,900.0,4700.0,3800.0,24.2,24.2,20.20000076
94,Jamison Crowder,WR,Jets,NE,4800.0,6200.0,10100.0,5167.0,5050.0,367.0,250.0,1400.0,5300.0,3900.0,24.3,16.15,11.64999962
