"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38945-55050","RB","Christian","Christian McCaffrey","McCaffrey","24.850000381469727","4","9100","JAC@CAR","CAR","JAC","","","","",""
"38945-38791","RB","Ezekiel","Ezekiel Elliott","Elliott","15.050000190734863","4","8800","GB@DAL","DAL","GB","","","","",""
"38945-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","12.225000381469727","4","8500","ATL@HOU","HOU","ATL","","","","",""
"38945-63115","QB","Lamar","Lamar Jackson","Jackson","28.049999237060547","4","8300","BAL@PIT","BAL","PIT","","","","",""
"38945-42104","RB","Alvin","Alvin Kamara","Kamara","17.475000381469727","4","8200","TB@NO","NO","TB","","","","",""
"38945-14190","WR","Julio","Julio Jones","Jones","16.825000762939453","4","8200","ATL@HOU","ATL","HOU","","","","",""
"38945-54140","RB","Dalvin","Dalvin Cook","Cook","22.475000381469727","4","8200","MIN@NYG","MIN","NYG","","","","",""
"38945-31716","QB","Dak","Dak Prescott","Prescott","23.55500030517578","4","8200","GB@DAL","DAL","GB","","","","",""
"38945-54879","QB","Deshaun","Deshaun Watson","Watson","20.5049991607666","4","8000","ATL@HOU","HOU","ATL","","","","",""
"38945-45889","WR","Davante","Davante Adams","Adams","12.574999809265137","4","8000","GB@DAL","GB","DAL","O","Toe","","",""
"38945-31001","WR","Amari","Amari Cooper","Cooper","15.774999618530273","4","7900","GB@DAL","DAL","GB","","","","",""
"38945-55635","WR","Chris","Chris Godwin","Godwin","18.899999618530273","4","7800","TB@NO","TB","NO","","","","",""
"38945-70324","QB","Carson","Carson Wentz","Wentz","21.479999542236328","4","7800","NYJ@PHI","PHI","NYJ","","","","",""
"38945-6894","QB","Aaron","Aaron Rodgers","Rodgers","16.764999389648438","4","7800","GB@DAL","GB","DAL","","","","",""
"38945-6616","QB","Matt","Matt Ryan","Ryan","20.450000762939453","4","7700","ATL@HOU","ATL","HOU","","","","",""
"38945-32384","WR","Mike","Mike Evans","Evans","17.450000762939453","4","7700","TB@NO","TB","NO","","","","",""
"38945-7968","QB","Philip","Philip Rivers","Rivers","19.21500015258789","4","7700","DEN@LAC","LAC","DEN","","","","",""
"38945-28573","WR","Michael","Michael Thomas","Thomas","14.774999618530273","4","7700","TB@NO","NO","TB","","","","",""
"38945-24849","QB","Jameis","Jameis Winston","Winston","20.020000457763672","4","7600","TB@NO","TB","NO","","","","",""
"38945-6498","QB","Tom","Tom Brady","Brady","18.78499984741211","4","7600","NE@WAS","NE","WAS","","","","",""
