Position, Name, Team, Game, Avg FPPG, Salary
"WR","Zay Jones","Bills","CIN @ BUF","3.8","$6,200.00"
"WR","Isaiah McKenzie","Bills","CIN @ BUF","6.2","$6,700.00"
"WR","Robert Foster","Bills","CIN @ BUF","0.0","$6,300.00"
"WR","Cole Beasley","Bills","CIN @ BUF","10.65","$8,700.00"
"WR","John Brown","Bills","CIN @ BUF","21.25","$10,500.00"
"TE","Lee Smith","Bills","CIN @ BUF","0.9","$5,000.00"
"TE","Tommy Sweeney","Bills","CIN @ BUF","2.75","$5,000.00"
"TE","Tyler Kroft","Bills","CIN @ BUF","0.0","$5,300.00"
"RB","T.J. Yeldon","Bills","CIN @ BUF","0.0","$6,900.00"
"RB","Patrick DiMarco","Bills","CIN @ BUF","2.15","$6,000.00"
"RB","Frank Gore","Bills","CIN @ BUF","9.15","$9,200.00"
"RB","Devin Singletary","Bills","CIN @ BUF","13.25","$8,900.00"
"QB","Matt Barkley","Bills","CIN @ BUF","0.0","$10,000.00"
"QB","Josh Allen","Bills","CIN @ BUF","21.09","$12,400.00"
"WR","Andre Roberts","Bills","CIN @ BUF","0.0","$6,000.00"
"DST","Buffalo Bills","Bills","CIN @ BUF","8.0","$6,600.00"
"TE","Dawson Knox","Bills","CIN @ BUF","1.95","$5,100.00"
"WR","A.J. Green","Bengals","CIN @ BUF","0.0","$12,700.00"
"RB","Trayveon Williams","Bengals","CIN @ BUF","0.0","$6,000.00"
"TE","Tyler Eifert","Bengals","CIN @ BUF","8.8","$6,000.00"
"WR","Damion Willis","Bengals","CIN @ BUF","6.0","$6,000.00"
"WR","Pharoh Cooper","Bengals","CIN @ BUF","0.0","$6,000.00"
"WR","John Ross III","Bengals","CIN @ BUF","31.0","$9,900.00"
"WR","Tyler Boyd","Bengals","CIN @ BUF","19.75","$11,900.00"
"TE","Cethan Carter","Bengals","CIN @ BUF","0.0","$5,000.00"
"TE","Clark Harris","Bengals","CIN @ BUF","0.0","$5,000.00"
"TE","C.J. Uzomah","Bengals","CIN @ BUF","5.3","$5,000.00"
"RB","Giovani Bernard","Bengals","CIN @ BUF","5.3","$8,000.00"
"RB","Joe Mixon","Bengals","CIN @ BUF","4.7","$9,900.00"
"QB","Ryan Finley","Bengals","CIN @ BUF","0.0","$10,000.00"
"QB","Andy Dalton","Bengals","CIN @ BUF","24.18","$10,000.00"
"RB","Samaje Perine","Bengals","CIN @ BUF","0.0","$6,500.00"
"WR","Auden Tate","Bengals","CIN @ BUF","1.6","$6,000.00"
"TE","Drew Sample","Bengals","CIN @ BUF","2.25","$5,000.00"
"QB","Jake Dolegala","Bengals","CIN @ BUF","0.0","$10,000.00"
"DST","Cincinnati Bengals","Bengals","CIN @ BUF","6.0","$4,200.00"
"WR","Alex Erickson","Bengals","CIN @ BUF","5.8","$6,000.00"
"WR","Tavon Austin","Cowboys","MIA @ DAL","1.8","$6,000.00"
"WR","Michael Gallup","Cowboys","MIA @ DAL","19.3","$10,600.00"
"WR","Randall Cobb","Cowboys","MIA @ DAL","12.7","$9,900.00"
"WR","Cedrick Wilson","Cowboys","MIA @ DAL","0.0","$6,000.00"
"TE","Jason Witten","Cowboys","MIA @ DAL","11.5","$6,600.00"
"RB","Jamize Olawale","Cowboys","MIA @ DAL","0.0","$6,000.00"
"RB","Ezekiel Elliott","Cowboys","MIA @ DAL","18.15","$17,100.00"
"QB","Cooper Rush","Cowboys","MIA @ DAL","0.0","$10,000.00"
"QB","Dak Prescott","Cowboys","MIA @ DAL","32.53","$12,300.00"
"WR","Devin Smith","Cowboys","MIA @ DAL","8.2","$6,400.00"
"TE","Dalton Schultz","Cowboys","MIA @ DAL","0.0","$5,000.00"
"WR","Amari Cooper","Cowboys","MIA @ DAL","20.0","$13,700.00"
"TE","Blake Jarwin","Cowboys","MIA @ DAL","12.9","$5,600.00"
"RB","Tony Pollard","Cowboys","MIA @ DAL","2.4","$8,200.00"
"DST","Dallas Cowboys","Cowboys","MIA @ DAL","6.0","$7,100.00"
"TE","Nick O'Leary","Dolphins","MIA @ DAL","0.8","$5,000.00"
"TE","Mike Gesicki","Dolphins","MIA @ DAL","3.6","$5,000.00"
"WR","DeVante Parker","Dolphins","MIA @ DAL","5.25","$8,500.00"
"WR","Jakeem Grant","Dolphins","MIA @ DAL","2.25","$7,500.00"
"WR","Allen Hurns","Dolphins","MIA @ DAL","3.2","$6,000.00"
"TE","Durham Smythe","Dolphins","MIA @ DAL","1.7","$5,000.00"
"RB","Kalen Ballage","Dolphins","MIA @ DAL","2.2","$9,000.00"
"QB","Josh Rosen","Dolphins","MIA @ DAL","-0.8","$10,000.00"
"RB","Kenyan Drake","Dolphins","MIA @ DAL","7.25","$8,800.00"
"WR","Albert Wilson","Dolphins","MIA @ DAL","3.4","$8,000.00"
"RB","Patrick Laird","Dolphins","MIA @ DAL","0.0","$6,000.00"
"DST","Miami Dolphins","Dolphins","MIA @ DAL","0.0","$3,900.00"
"WR","Preston Williams","Dolphins","MIA @ DAL","10.85","$7,000.00"
"QB","Ryan Fitzpatrick","Dolphins","MIA @ DAL","6.18","$10,000.00"
"RB","Mark Walton","Dolphins","MIA @ DAL","0.1","$6,000.00"
"RB","Myles Gaskin","Dolphins","MIA @ DAL","0.0","$6,000.00"
"RB","Chandler Cox","Dolphins","MIA @ DAL","0.0","$6,000.00"
"TE","Marcedes Lewis","Packers","DEN @ GB","1.7","$5,000.00"
"WR","Trevor Davis","Packers","DEN @ GB","1.9","$6,000.00"
"WR","Jake Kumerow","Packers","DEN @ GB","1.1","$6,000.00"
"WR","Geronimo Allison","Packers","DEN @ GB","5.75","$9,000.00"
"WR","Allen Lazard","Packers","DEN @ GB","0.0","$6,000.00"
"WR","Darrius Shepherd","Packers","DEN @ GB","0.0","$6,000.00"
"WR","Davante Adams","Packers","DEN @ GB","14.1","$13,900.00"
"TE","Robert Tonyan","Packers","DEN @ GB","1.9","$5,000.00"
"RB","Dexter Williams","Packers","DEN @ GB","0.0","$6,000.00"
"RB","Aaron Jones","Packers","DEN @ GB","16.45","$11,400.00"
"QB","Aaron Rodgers","Packers","DEN @ GB","14.14","$11,400.00"
"RB","Danny Vitale","Packers","DEN @ GB","0.0","$6,000.00"
"DST","Green Bay Packers","Packers","DEN @ GB","12.0","$6,900.00"
"RB","Jamaal Williams","Packers","DEN @ GB","3.5","$8,500.00"
"TE","Jimmy Graham","Packers","DEN @ GB","12.0","$7,400.00"
"WR","Marquez Valdes-Scantling","Packers","DEN @ GB","9.2","$8,700.00"
"QB","Tim Boyle","Packers","DEN @ GB","0.0","$10,000.00"
"WR","River Cracraft","Broncos","DEN @ GB","0.0","$6,000.00"
"WR","Juwann Winfree","Broncos","DEN @ GB","0.0","$6,000.00"
"WR","Diontae Spencer","Broncos","DEN @ GB","0.0","$6,000.00"
"WR","DaeSean Hamilton","Broncos","DEN @ GB","3.0","$7,800.00"
"WR","Courtland Sutton","Broncos","DEN @ GB","15.0","$9,000.00"
"TE","Troy Fumagalli","Broncos","DEN @ GB","0.0","$5,000.00"
"TE","Jeff Heuerman","Broncos","DEN @ GB","3.05","$5,600.00"
"RB","Devontae Booker","Broncos","DEN @ GB","0.0","$6,300.00"
"RB","Andy Janovich","Broncos","DEN @ GB","0.0","$6,000.00"
"RB","Royce Freeman","Broncos","DEN @ GB","11.15","$8,700.00"
"RB","Phillip Lindsay","Broncos","DEN @ GB","10.6","$9,000.00"
"QB","Joe Flacco","Broncos","DEN @ GB","15.75","$10,000.00"
"WR","Emmanuel Sanders","Broncos","DEN @ GB","24.2","$9,500.00"
"QB","Brandon Allen","Broncos","DEN @ GB","0.0","$10,000.00"
"TE","Noah Fant","Broncos","DEN @ GB","4.4","$5,900.00"
"TE","Andrew Beck","Broncos","DEN @ GB","0.0","$5,000.00"
"DST","Denver Broncos","Broncos","DEN @ GB","0.0","$4,400.00"
"QB","Chad Kelly","Colts","ATL @ IND","0.0","$10,000.00"
"RB","Jonathan Williams","Colts","ATL @ IND","0.0","$6,000.00"
"WR","Chester Rogers","Colts","ATL @ IND","2.7","$6,700.00"
"WR","Deon Cain","Colts","ATL @ IND","2.75","$6,000.00"
"WR","Zach Pascal","Colts","ATL @ IND","0.0","$6,000.00"
"TE","Mo Alie-Cox","Colts","ATL @ IND","0.65","$5,000.00"
"TE","Eric Ebron","Colts","ATL @ IND","6.65","$7,000.00"
"RB","Jordan Wilkins","Colts","ATL @ IND","4.8","$6,200.00"
"RB","Marlon Mack","Colts","ATL @ IND","18.35","$10,900.00"
"QB","Brian Hoyer","Colts","ATL @ IND","0.0","$10,000.00"
"QB","Jacoby Brissett","Colts","ATL @ IND","17.42","$10,900.00"
"TE","Jack Doyle","Colts","ATL @ IND","3.55","$6,500.00"
