Position,Name,ID,Name+ID,Team,Game,Avg FPPG,Salary
QB,Patrick Mahomes,1653264,Patrick Mahomes (1653264),Chiefs,IND @ KC,29.45,"$14,200.00 "
QB,Lamar Jackson,1653298,Lamar Jackson (1653298),Ravens,BAL @ PIT,29.55,"$13,600.00 "
QB,Jameis Winston,1653290,Jameis Winston (1653290),Buccaneers,TB @ NO,21.52,"$12,800.00 "
QB,Dak Prescott,1653254,Dak Prescott (1653254),Cowboys,GB @ DAL,24.3,"$12,200.00 "
QB,Deshaun Watson,1653299,Deshaun Watson (1653299),Texans,ATL @ HOU,21.75,"$12,200.00 "
QB,Kyler Murray,1653302,Kyler Murray (1653302),Cardinals,ARI @ CIN,20.53,"$11,900.00 "
QB,Tom Brady,1653271,Tom Brady (1653271),Patriots,NE @ WAS,20.28,"$11,900.00 "
QB,Carson Wentz,1653282,Carson Wentz (1653282),Eagles,NYJ @ PHI,22.23,"$11,400.00 "
QB,Jacoby Brissett,1653261,Jacoby Brissett (1653261),Colts,IND @ KC,20.53,"$11,300.00 "
QB,Aaron Rodgers,1653259,Aaron Rodgers (1653259),Packers,GB @ DAL,18.01,"$11,300.00 "
QB,Josh Allen,1653248,Josh Allen (1653248),Bills,BUF @ TEN,18.3,"$11,200.00 "
QB,Matt Ryan,1653246,Matt Ryan (1653246),Falcons,ATL @ HOU,23.7,"$11,000.00 "
QB,Drew Brees,1653273,Drew Brees (1653273),Saints,TB @ NO,12.66,"$11,000.00 "
QB,Philip Rivers,1653287,Philip Rivers (1653287),Chargers,DEN @ LAC,21.71,"$10,900.00 "
QB,Sam Darnold,1653278,Sam Darnold (1653278),Jets,NYJ @ PHI,13,"$10,600.00 "
QB,Andy Dalton,1653252,Andy Dalton (1653252),Bengals,ARI @ CIN,22.15,"$10,500.00 "
QB,Daniel Jones,1653301,Daniel Jones (1653301),Giants,MIN @ NYG,17.9,"$10,500.00 "
QB,Gardner Minshew II,1653308,Gardner Minshew II (1653308),Jaguars,JAX @ CAR,17.6,"$10,500.00 "
QB,Kyle Allen,1653292,Kyle Allen (1653292),Panthers,JAX @ CAR,15.81,"$10,500.00 "
QB,Kirk Cousins,1653270,Kirk Cousins (1653270),Vikings,MIN @ NYG,11.77,"$10,500.00 "
QB,Mason Rudolph,1653286,Mason Rudolph (1653286),Steelers,BAL @ PIT,13.82,"$10,300.00 "
QB,Teddy Bridgewater,1653274,Teddy Bridgewater (1653274),Saints,TB @ NO,10.3,"$10,200.00 "
QB,Mitchell Trubisky,1653251,Mitchell Trubisky (1653251),Bears,CHI @ OAK,8.9,"$10,200.00 "
QB,Matt Barkley,1653249,Matt Barkley (1653249),Bills,BUF @ TEN,4.08,"$10,200.00 "
QB,Marcus Mariota,1653260,Marcus Mariota (1653260),Titans,BUF @ TEN,19.88,"$10,000.00 "
QB,Case Keenum,1653256,Case Keenum (1653256),Redskins,NE @ WAS,16.75,"$10,000.00 "
QB,Joe Flacco,1653296,Joe Flacco (1653296),Broncos,DEN @ LAC,16.13,"$10,000.00 "
